"Session country","Session region","Session city","Online store visitors","Sessions"
"United States","Ohio","North Ridgeville",1,1
"United States","Louisiana","Kenner",1,1
"Hong Kong","Kwai Tsing District","Ha Kwai Chung",1,1
"United States","Minnesota",,1,1
"United States","California","Oceanside",1,1
"United States","Ohio","Girard",1,1
"United States","New Jersey","Williamstown",1,1
"Australia","New South Wales","Harden",1,1
"United States","Indiana","Peru",1,1
"United States","New York","Huntington Station",1,1
"Russia","Perm Krai","Perm",1,1
"Hong Kong","Sham Shui Po District","Shek Kip Mei",1,1
"United States","Massachusetts","Tewksbury",1,1
"United States","Arkansas","Little Rock",1,1
"United States","Mississippi","Pinola",1,1
"United States","Texas","San Benito",1,1
"United States","South Carolina","Seneca",1,1
"United States","New York","Watertown",1,1
"United States","California","Petaluma",1,1
"United States","California","Roseville",1,1
"United States","Virginia","Falls Church",1,1
"United States","Washington","Kennewick",1,1
"Hong Kong","Tuen Mun","Tuenmen",1,1
"United States","Nebraska","Hastings",1,1
"United States","Texas","Amarillo",1,1
"United States","New Jersey","Livingston",1,1
"Australia","Queensland","Bundaberg",1,1
"United States","Virginia","Charlottesville",1,1
"Australia","Victoria","Wallan",1,1
"United States","Tennessee","Manchester",1,1
"United States","California","Corona",1,1
"Canada","Ontario","Fort Erie",1,1
"Pakistan","Punjab","Jhelum",1,1
"United States","Texas","Cleveland",1,1
"United States","California","North Hollywood",1,1
"Australia","Queensland","Gold Coast",1,1
"United States","Pennsylvania","Glenolden",1,1
"United States","Nebraska","Kearney",1,1
"United States","Illinois","Westville",1,1
"United States","Florida","Bradenton",1,1
"United States","North Carolina","Mooresville",1,1
"United States","Virginia","Reston",1,1
"Australia","New South Wales","Mudgee",1,1
"United States","Texas","Graham",1,1
"Spain","Madrid","Madrid",1,1
"United States","Missouri","City of Saint Peters",1,1
"United States","California","Foster City",1,1
"United States","New York","Plattsburgh",1,1
"United States","Florida","North Port",1,1
"United States","Pennsylvania","Nanticoke",1,1
"United States","Virginia","Smithfield",1,1
"United States","Indiana","Cedar Lake",1,1
"United States","Michigan",,1,1
"Canada","Quebec","Beauharnois",1,1
"United States","Virginia","Henrico",1,1
"United States","Ohio","Marion",1,1
"United States","Pennsylvania","Easton",1,1
"United States","Michigan","Clio",1,1
"Taiwan","New Taipei City","New Taipei City",1,1
"United States","Oklahoma","Owasso",1,1
"United States","New Jersey","Belleville",1,1
"United States","New York","Kerhonkson",1,1
"United States","Montana","Anaconda",1,1
"United States","Pennsylvania","Macungie",1,1
"United States","Michigan","Harrison",1,1
"Tunisia","Tunis Governorate","Tunis",1,1
"United States","Texas","Humble",1,1
"United States","Washington","Lynnwood",1,1
"India","Rajasthan","Jaipur",1,1
"United States","California","Monrovia",1,1
"United States","Massachusetts","Somerset",1,1
"United States","Michigan","Sterling Heights",1,1
"United States","Texas","Crowley",1,1
"Australia","Queensland","Townsville",1,1
"United States","Missouri","Blue Springs",1,1
"United States","California","Encino",1,1
"United States","California","Chula Vista",1,1
"United States","California","Aptos",1,1
"United States","Louisiana","Mamou",1,1
"United States","Wisconsin","Mukwonago",1,1
"Australia","New South Wales","Newcastle",1,1
"United States","Pennsylvania","Towanda",1,1
"United States","Georgia","La Grange",1,1
"United States","Alabama","Talladega",1,1
"United States","California","San Bernardino",1,1
"United States","South Carolina","Florence",1,1
"United States","Louisiana","Denham Springs",1,1
"United States","Pennsylvania","Irwin",1,1
"United States","Florida","Coconut Grove",1,1
"United States","Michigan","Wyoming",1,1
"United States","Kentucky","Bowling Green",1,1
"United States","Florida","Jensen Beach",1,1
"United States","Pennsylvania","West Grove",1,1
"United States","Michigan","Traverse City",1,1
"United States","Massachusetts","Arlington",1,1
"United States","New Jersey","Eatontown",1,1
"United States","Missouri","Tipton",1,1
"United States","Georgia","Dahlonega",1,1
"United States","Texas","Arlington",1,1
"United States","California","South Lake Tahoe",1,1
"United States","Minnesota","Shakopee",1,1
"United States","New Mexico","El Prado",1,1
"United States","Colorado","Parker",1,1
"United States","Vermont","Saint Johnsbury",1,1
"United States","Illinois","Charleston",1,1
"United States","Illinois","Rockford",1,1
"United States","Massachusetts","Brighton",1,1
"United States","Colorado","Highlands Ranch",1,1
"United States","Virginia","Vienna",1,1
"United States","California","Santa Paula",1,1
"United States","New York","Manlius",1,1
"United States","South Dakota","Sioux Falls",1,1
"United States","California","Lancaster",1,1
"United States","Nevada","Carson City",1,1
"United Kingdom","England","Runcorn",1,1
"United States","Mississippi","Picayune",1,1
"United States","Colorado","Steamboat Springs",1,1
"Taiwan","New Taipei City","Banqiao",1,1
"United States","Oregon","Tillamook",1,1
"United States","California","La Habra",1,1
"United States","Florida","Pinellas Park",1,1
"United States","Illinois","McHenry",1,1
"United States","South Carolina","Dillon",1,1
"Pakistan","Punjab",,1,1
"United States","South Dakota","Clark",1,1
"United States","Arizona","Peoria",1,1
"United States","Utah","Tooele",1,1
"United States","Colorado","Castle Rock",1,1
"United States","Florida","Saint Augustine",1,1
"Malaysia","Selangor","Puchong Batu Dua Belas",1,1
"Australia","Victoria","Melton West",1,1
"Hong Kong","Kwun Tong District","Kwun Tong",1,1
"United States","Mississippi","Gulfport",1,1
"United States","New York","Lindenhurst",1,1
"United States","Texas","Laredo",1,1
"United States","Maine","Rockport",1,1
"United States","Ohio","Chillicothe",1,1
"Hong Kong","Eastern District","Chai Wan",1,1
"United States","California","Irvine",1,1
"United States","Florida","Palm Harbor",1,1
"United States","Washington","Stanwood",1,1
"United States","Oklahoma","Durant",1,1
"United States","Michigan","Warren",1,1
"Canada","Ontario","Kingston",1,1
"Canada","British Columbia","Port Alice",1,1
"United States","Kentucky","Radcliff",1,1
"United States","Alabama","Mobile",1,1
"United States","Michigan","Livonia",1,1
"United States","Tennessee","Paris",1,1
"United States","California","Mission Viejo",1,1
"United States","Utah","Ogden",1,1
"United States","Alabama","Centre",1,1
"United States","Minnesota","Red Wing",1,1
"United States","Pennsylvania","Nazareth",1,1
"United States","Missouri","Saint Charles",1,1
"Sweden","Norrbotten County","Luleå",1,1
"United States","California","Gardena",1,1
"United States","Missouri","Meadville",1,1
"United States","Alabama","Decatur",1,1
"United States","Hawaii","Kaunakakai",1,1
"United States","California","Selma",1,1
"United States","Virginia","Bristol",1,1
"United States","Kentucky","Harlan",1,1
"France","Île-de-France","Le Plessis-Robinson",1,1
"United States","West Virginia","Morgantown",1,1
"United States","Louisiana","Minden",1,1
"United States","Kentucky","Alexandria",1,1
"United States","Wisconsin","Manitowoc",1,1
"United States","Virginia","Evington",1,1
"United States","South Carolina","Salem",1,1
"United States","Connecticut","Wethersfield",1,1
"United States","California","Victorville",1,1
"United States","Illinois","Oak Forest",1,1
"United States","California","Anaheim",1,1
"United States","Oregon","Corvallis",1,1
"United States","Pennsylvania","Mars",1,1
"United States","Missouri","Wentzville",1,1
"United States","New York","Rochester",1,1
"France","Grand Est","Illkirch-Graffenstaden",1,1
"United States","Delaware","Milton",1,1
"United States","Louisiana","Eunice",1,1
"United States","Virginia","Floyd",1,1
"United States","Illinois","Cicero",1,1
"United States","Tennessee","Johnson City",1,1
"United States","Connecticut","Vernon",1,1
"United States","North Carolina","Moyock",1,1
"United States","North Carolina","Pinehurst",1,1
"United States","Alabama","Madison",1,1
"United States","New Hampshire","Berlin",1,1
"Thailand","Nakhon Pathom","Nakhon Pathom",1,1
"United Kingdom","England","Broxbourne",1,1
"United States","Kentucky","Lynch",1,1
"United States","District of Columbia",,1,1
"United States","Pennsylvania","Clifton Heights",1,1
"United States","New York","Binghamton",1,1
"United States","North Carolina","Kannapolis",1,1
"United States","Illinois","Delavan",1,1
"United States","California","McKinleyville",1,1
"United States","Nevada",,1,1
"United States","Pennsylvania","Ashland",1,1
"United States","Texas","Jacksonville",1,1
"United States","Connecticut","East Hartford",1,1
"United States","New York","Newark",1,1
"United States","Delaware","Newark",1,1
"United States","Michigan","Holland",1,1
"United States","Texas","Huntsville",1,1
"Canada","Alberta","Calgary",1,1
"United States","Texas","Melissa",1,1
"United States","Virginia","Staunton",1,1
"United States","Arizona","Scottsdale",1,1
"United States","Florida","Pensacola",1,1
"United States","Montana","Bozeman",1,1
"United States","Mississippi","Mize",1,1
"United States","Florida","St. Petersburg",1,1
"Afghanistan",,,1,1
"United States","California","Vallejo",1,1
"United States","Texas","Elgin",1,1
"Australia","Australian Capital Territory","Canberra",1,1
"United States","New York","Ellenville",1,1
"United States","Wyoming",,1,1
"United States","California","Colton",1,1
"United States","Arizona","Chandler",1,1
"United States","Hawaii",,1,1
"United States","New Jersey","Laurelton",1,1
"United States","New Jersey","Haddonfield",1,1
"United States","Florida","Saint Johns",1,1
"United States","Georgia","Columbus",1,1
"United States","California","Riverside",1,1
"United States","Louisiana","Lafayette",1,1
"United States","Georgia","Dallas",1,1
"United States","New Hampshire","Amherst",1,1
"United States","Virginia","Chester",1,1
"United States","Missouri","O'Fallon",1,1
"United States","Georgia","Augusta",1,1
"United States","Texas","Weatherford",1,1
"United States","Wyoming","Rock Springs",1,1
"United States","Iowa","Nashua",1,1
"United States","California","Wilmington",1,1
"United States","Texas","Waxahachie",1,1
"United States","New York","Levittown",1,1
"United States","North Carolina","Lexington",1,1
"United States","Georgia","Alpharetta",1,1
"United States","Georgia","Peachtree City",1,1
"United States","New York","Bloomingburg",1,1
"United States","Florida","Hollywood",1,1
"United States","West Virginia","Charles Town",1,1
"United States","Texas","Waco",1,1
"United States","Minnesota","Paynesville",1,1
"United States","Texas","Boerne",1,1
"United States","Nevada","Pahrump",1,1
"Australia","New South Wales","Maitland",1,1
"United States","Florida","Port Richey",1,1
"United States","Pennsylvania",,1,1
"New Zealand","Canterbury","Christchurch",1,1
"United States","Tennessee","Cordova",1,1
"United States","Georgia","Rome",1,1
"United States","Kansas","Garden City",1,1
"United States","Iowa","Sioux City",1,1
"United States","Georgia","Guyton",1,1
"United States","Pennsylvania","Latrobe",1,1
"United States","New Mexico","Farmington",1,1
"Malaysia","Selangor","Petaling Jaya",1,1
"United States","New Jersey","Cape May Court House",1,1
"United States","Washington","Snoqualmie",1,1
"United States","Florida","Tallahassee",1,1
"United States","Florida","Pompano Beach",1,1
"United States","California","Tranquillity",1,1
"United States","Massachusetts","Somerville",1,1
"United States","Illinois","Wood Dale",1,1
"United States","Tennessee","Chattanooga",1,1
"United States","Pennsylvania","Scranton",1,1
"United States","Tennessee","Mountain City",1,1
"Australia","Victoria","Clyde North",1,1
"United States","California","Lakewood",1,1
"United States","South Carolina","Lancaster",1,1
"United States","Arizona","Queen Creek",1,1
"United States","Texas","Manvel",1,1
"United States","Tennessee","Antioch",1,1
"United States","New York","Camden",1,1
"United States","Michigan","Holt",1,1
"United States","Rhode Island","Woonsocket",1,1
"United States","Michigan","Lowell",1,1
"Indonesia","East Java","Surabaya",1,1
"Mexico","Guanajuato","Celaya",1,1
"United States","Mississippi","Columbus",1,1
"United States","Ohio","Sandusky",1,1
"United States","Illinois","Palatine",1,1
"United States","Florida","Ruskin",1,1
"Brazil","Minas Gerais","Piumhi",1,1
"United States","Indiana","Ferdinand",1,1
"United States","Georgia","Toccoa",1,1
"United States","Rhode Island","Pawtucket",1,1
"United States","Wisconsin","Fond du Lac",1,1
"United States","Vermont","Saint Albans",1,1
"United States","Colorado","Englewood",1,1
"United States","Texas","Baytown",1,1
"United States","Florida","Clermont",1,1
"United States","North Carolina","Asheboro",1,1
"United States","California","Indio",1,1
"Ecuador","El Oro","Pasaje",1,1
"India","Andhra Pradesh","Vijayawada",1,1
"United States","New Jersey","Howell Township",1,1
"United States","Washington","Sammamish",1,1
"United States","Georgia","Hartwell",1,1
"United States","Maine","Buxton",1,1
"United States","Florida","St. Cloud",1,1
"United States","Connecticut","West Hartford",1,1
"United States","Minnesota","Mankato",1,1
"United States","Texas","Caddo Mills",1,1
"United States","South Carolina","Greer",1,1
"United States","Massachusetts","Saugus",1,1
"United States","New Jersey","Paterson",1,1
"Russia","Moscow","Moscow",1,1
"Hong Kong","Islands District","San Tung Chung Hang",1,1
"United States","Missouri","Bunceton",1,1
"United States","Rhode Island","Providence",1,1
"United States","Florida","Monticello",1,1
"United States","Texas","Coldspring",1,1
"Canada","Ontario","Cornwall",1,1
"France","Occitanie","Nîmes",1,1
"United States","Pennsylvania","Phoenixville",1,1
"United States","Michigan","Troy",1,1
"United States","Illinois","Rock Island",1,1
"United States","Washington","Woodland",1,1
"United States","Florida","Freeport",1,1
"United States","Pennsylvania","Erie",1,1
"United States","Arkansas","Jonesboro",1,1
"United States","New York","North Tonawanda",1,1
"United States","Michigan","Bloomfield Hills",1,1
"United States","Nebraska","Central City",1,1
"United States","New Jersey","Union",1,1
"United States","North Dakota","Fullerton",1,1
"United States","Georgia","Stone Mountain",1,1
"United States","Indiana","Richmond",1,1
"United States","Rhode Island","Coventry",1,1
"United States","Connecticut","New Britain",1,1
"United States","Missouri","Platte City",1,1
"United States","North Dakota","Grand Forks",1,1
"United States","Missouri","Springfield",1,1
"United States","Illinois","Riverton",1,1
"United States","Connecticut","Bridgeport",1,1
"United States","California","Watsonville",1,1
"United States","South Carolina","Anderson",1,1
"Canada",,,1,1
"United States","Colorado","Montrose",1,1
"United States","Maryland","Parkville",1,1
"United States","Pennsylvania","West Mifflin",1,1
"United States","Michigan","Grand Ledge",1,1
"Germany","State of Berlin","Berlin",1,1
"United States","Arkansas","Paragould",1,1
"United States","Ohio","Franklin",1,1
"United States","North Carolina","Oxford",1,1
"United States","North Carolina","Willow Springs",1,1
"United States","Georgia","Villa Rica",1,1
"Hong Kong","Central and Western District","Central",1,1
"United States","Mississippi","Byram",1,1
"United States","Alabama","Foley",1,1
"United States","New York","New Rochelle",1,1
"United States","New York","Fredonia",1,1
"United States","North Carolina","Asheville",1,1
"United States","Ohio","East Liverpool",1,1
"United States","Massachusetts","Lowell",1,1
"United States","Oregon","Salem",1,1
"United States","Michigan","Howell",1,1
"United States","Minnesota","Woodbury",1,1
"United States","California","Union City",1,1
"United States","Illinois","Quincy",1,1
"United States","New York","Liverpool",1,1
"United States","Kansas","Leawood",1,1
"United States","Illinois","Bartlett",1,1
"France","Grand Est","Strasbourg",1,1
"United States","Pennsylvania","Brownsville",1,1
"Canada","New Brunswick","Bathurst",1,1
"United States","Colorado","Lakewood",1,1
"United States","Texas","Frisco",1,1
"United States","New York","Manhasset",1,1
"United States","West Virginia","Martinsburg",1,1
"United States","New Jersey",,1,1
"Australia","Western Australia","Bunbury",1,1
"United States","California","Lake Shasta",1,1
"United States","Minnesota","Burnsville",1,1
"United States","Texas","College Station",1,1
"United States","Colorado","Las Animas",1,1
"United States","California","Santa Maria",1,1
"United States","California","Escondido",1,1
"United States","Ohio","Springboro",1,1
"United States","Pennsylvania","Hershey",1,1
"United States","Texas","Sherman",1,1
"United States","New Jersey","Berlin",1,1
"United States","Ohio","Cleveland Heights",1,1
"United States","Virginia","Chesapeake",1,1
"United States","Indiana","Merrillville",1,1
"United States","Pennsylvania","Palmyra",1,1
"United States","Wisconsin","Watertown",1,1
"United States","Texas","Missouri City",1,1
"United States","Florida","Delray Beach",1,1
"United States","New Jersey","Manasquan",1,1
"United States","Louisiana","Baton Rouge",1,1
"United States","New Jersey","Camden",1,1
"United States","Louisiana","Covington",1,1
"United States","California","Richmond",1,1
"United States","Wisconsin","Verona",1,1
"United States","California","Emeryville",1,1
"United States","Michigan","Caro",1,1
"India","Tamil Nadu","Chennai",1,1
"Canada","Ontario","Etobicoke",1,1
"United States","Maryland","Hyattsville",1,1
"United States","Indiana","Hartford City",1,1
"United States","Alaska","Fairbanks",1,1
"Canada","Ontario","St. Davids",1,1
"United States","Illinois","Barrington",1,1
"United States","Ohio","Massillon",1,1
"United States","California","La Mesa",1,1
"Morocco","Drâa-Tafilalet","Errachidia",1,1
"United States","North Carolina","New Bern",1,1
"United States","Rhode Island","Newport",1,1
"United States","California","Tustin",1,1
"United States","Illinois","Palos Hills",1,1
"United States","Arkansas","White Hall",1,1
"United States","Colorado","Commerce City",1,1
"United States","North Carolina","Boone",1,1
"United States","Kentucky","Versailles",1,1
"United States","California","Lomita",1,1
"United States","Pennsylvania","Saint Marys",1,1
"Brazil","São Paulo","São Paulo",1,1
"United States","Indiana","Noblesville",1,1
"United States","Mississippi","Ellisville",1,1
"United States","New York","Valley Stream",1,1
"United States","Iowa","Davenport",1,1
"United States","Florida","Brandon",1,1
"United States","California","Sherman Oaks",1,1
"United States","California","Fairfield",1,1
"Japan","Tokyo","Minamishinagawa",1,1
"United States","Washington","Issaquah",1,1
"United States","Indiana","Fort Wayne",1,1
"Finland","Uusimaa","Helsinki",1,1
"Hong Kong","Sham Shui Po District","Lai Chi Kok",1,1
"United Kingdom","England","Luton",1,1
"United States","Virginia","Manassas",1,1
"United States","Alabama","Trussville",1,1
"United States","Massachusetts","Amesbury",1,1
"United States","Minnesota","Stillwater",1,1
"United States","Oregon","North Bend",1,1
"United States","Pennsylvania","Columbia Cross Roads",1,1
"United States","Florida","Land O' Lakes",1,1
"United States","Louisiana","Arnaudville",1,1
"United States","Oregon","Silverton",1,1
"United States","Georgia","Covington",1,1
"Myanmar","Nay Pyi Taw","Nay Pyi Taw",1,1
"United States","New Jersey","Linden",1,1
"United States","New Mexico","Rio Rancho",1,1
"Senegal","Dakar","Dakar",1,1
"United States","Minnesota","Faribault",1,1
"United States","Wisconsin","Stevens Point",1,1
"United States","Maine","Brunswick",1,1
"United States","Virginia","Virginia Beach",1,1
"France","Nouvelle-Aquitaine","Brive-la-Gaillarde",1,1
"United States","Tennessee","Hendersonville",1,1
"United States","Georgia","East Point",1,1
"United States","Indiana","West Terre Haute",1,1
"United States","Iowa","Harlan",1,1
"United States","Arkansas","Mountain Home",1,1
"United States","Idaho","Boise",1,1
"United States","Mississippi","Jackson",1,1
"Pakistan","Punjab","Faisalabad",1,1
"Australia","New South Wales","Sydney Olympic Park",1,1
"United States","Colorado","Broomfield",1,1
"United States","Maryland","Hurlock",1,1
"United States","Maryland","Catonsville",1,1
"United States","Texas","Quanah",1,1
"Mexico",,,1,1
"United States","New Jersey","Marlton",1,1
"United States","Iowa","Leon",1,1
"United States","Ohio",,1,1
"United States","New York","Wynantskill",1,1
"United States","California","Cathedral City",1,1
"United States","Oregon","Albany",1,1
"United States","Nevada","Battle Mountain",1,1
"United States","California","San Mateo",1,1
"United States","Florida","Apopka",1,1
"United States","Pennsylvania","Pottsville",1,1
"United States","Pennsylvania","Bryn Mawr",1,1
"New Zealand","Auckland","Auckland",1,1
"United States","Minnesota","Lakeville",1,1
"Canada","Ontario","Windsor",1,1
"United States","North Carolina","Leland",1,1
"Canada","British Columbia","Delta",1,1
"United States","New York","Holbrook",1,1
"Oman","Muscat","Muscat",1,1
"United States","Pennsylvania","New Castle",1,1
"United States","Georgia",,1,1
"United States","Tennessee","Knoxville",1,1
